01.1,Produção de lavouras temporárias
80.1,"Atividades de vigilância, segurança privada e transporte de valores"
80.11-1,Atividades de vigilância e segurança privada
8011-1/01,Atividades de vigilância e segurança privada
8011-1/02,Serviços de adestramento de cães de guarda
80.12-9,Atividades de transporte de valores
8012-9/00,Atividades de transporte de valores
80.2,Atividades de monitoramento de sistemas de segurança
80.20-0,Atividades de monitoramento de sistemas de segurança
8020-0/01,Atividades de monitoramento de sistemas de segurança eletrônico
8020-0/02,Outras atividades de serviços de segurança
80.3,Atividades de investigação particular
80.30-7,Atividades de investigação particular
8030-7/00,Atividades de investigação particular
81.1,Serviços combinados para apoio a edifícios
81.11-7,"Serviços combinados para apoio a edifícios, exceto condomínios prediais"
8111-7/00,"Serviços combinados para apoio a edifícios, exceto condomínios prediais"
81.12-5,Condomínios prediais
8112-5/00,Condomínios prediais
81.2,Atividades de limpeza
81.21-4,Limpeza em prédios e em domicílios
8121-4/00,Limpeza em prédios e em domicílios
81.22-2,Imunização e controle de pragas urbanas
8122-2/00,Imunização e controle de pragas urbanas
81.29-0,Atividades de limpeza não especificadas anteriormente
8129-0/00,Atividades de limpeza não especificadas anteriormente
81.3,Atividades paisagísticas
81.30-3,Atividades paisagísticas
8130-3/00,Atividades paisagísticas
82.1,Serviços de escritório e apoio administrativo
82.11-3,Serviços combinados de escritório e apoio administrativo
8211-3/00,Serviços combinados de escritório e apoio administrativo
82.19-9,"Fotocópias, preparação de documentos e outros serviços especializados de apoio administrativo"
8219-9/01,Fotocópias
8219-9/99,Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente
82.2,Atividades de teleatendimento
82.20-2,Atividades de teleatendimento
8220-2/00,Atividades de teleatendimento
82.3,"Atividades de organização de eventos, exceto culturais e esportivos"
82.30-0,"Atividades de organização de eventos, exceto culturais e esportivos"
8230-0/01,"Serviços de organização de feiras, congressos, exposições e festas"
8230-0/02,Casas de festas e eventos
82.9,Outras atividades de serviços prestados principalmente às empresas
82.91-1,Atividades de cobrança e informações cadastrais
8291-1/00,Atividades de cobrança e informações cadastrais
82.92-0,Envasamento e empacotamento sob contrato
8292-0/00,Envasamento e empacotamento sob contrato
82.99-7,Atividades de serviços prestados principalmente às empresas não especificadas anteriormente
8299-7/01,"Medição de consumo de energia elétrica, gás e água"
8299-7/02,"Emissão de vales-alimentação, vales-transporte e similares"
8299-7/03,"Serviços de gravação de carimbos, exceto confecção"
8299-7/04,Leiloeiros independentes
8299-7/05,Serviços de levantamento de fundos sob contrato
8299-7/06,Casas lotéricas
8299-7/07,Salas de acesso à internet
8299-7/99,Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente
84.1,Administração do estado e da política econômica e social
84.11-6,Administração pública em geral
8411-6/00,Administração pública em geral
84.12-4,"Regulação das atividades de saúde, educação, serviços culturais e outros serviços sociais"
8412-4/00,"Regulação das atividades de saúde, educação, serviços culturais e outros serviços sociais"
84.13-2,Regulação das atividades econômicas
8413-2/00,Regulação das atividades econômicas
84.2,Serviços coletivos prestados pela administração pública
84.21-3,Relações exteriores
8421-3/00,Relações exteriores
84.22-1,Defesa
8422-1/00,Defesa
84.23-0,Justiça
8423-0/00,Justiça
84.24-8,Segurança e ordem pública
8424-8/00,Segurança e ordem pública
84.25-6,Defesa Civil
8425-6/00,Defesa Civil
84.3,Seguridade social obrigatória
84.30-2,Seguridade social obrigatória
8430-2/00,Seguridade social obrigatória
85.1,Educação infantil e ensino fundamental
85.11-2,Educação infantil - creche
8511-2/00,Educação infantil - creche
85.12-1,Educação infantil - pré-escola
8512-1/00,Educação infantil - pré-escola
85.13-9,Ensino fundamental
8513-9/00,Ensino fundamental
85.2,Ensino médio
85.20-1,Ensino médio
8520-1/00,Ensino médio
85.3,Educação superior
85.31-7,Educação superior - graduação
8531-7/00,Educação superior - graduação
85.32-5,Educação superior - graduação e pós-graduação
8532-5/00,Educação superior - graduação e pós-graduação
85.33-3,Educação superior - pós-graduação e extensão
8533-3/00,Educação superior - pós-graduação e extensão
85.4,Educação profissional de nível técnico e tecnológico
85.41-4,Educação profissional de nível técnico
8541-4/00,Educação profissional de nível técnico
85.42-2,Educação profissional de nível tecnológico
8542-2/00,Educação profissional de nível tecnológico
85.5,Atividades de apoio à educação
85.50-3,Atividades de apoio à educação
8550-3/01,Administração de caixas escolares
8550-3/02,"Atividades de apoio à educação, exceto caixas escolares"
85.9,Outras atividades de ensino
85.91-1,Ensino de esportes
8591-1/00,Ensino de esportes
85.92-9,Ensino de arte e cultura
8592-9/01,Ensino de dança
8592-9/02,"Ensino de artes cênicas, exceto dança"
8592-9/03,Ensino de música
8592-9/99,Ensino de arte e cultura não especificado anteriormente
85.93-7,Ensino de idiomas
8593-7/00,Ensino de idiomas
85.99-6,Atividades de ensino não especificadas anteriormente
8599-6/01,Formação de condutores
8599-6/02,Cursos de pilotagem
8599-6/03,Treinamento em informática
8599-6/04,Treinamento em desenvolvimento profissional e gerencial
8599-6/05,Cursos preparatórios para concursos
8599-6/99,Outras atividades de ensino não especificadas anteriormente
86.1,Atividades de atendimento hospitalar
86.10-1,Atividades de atendimento hospitalar
8610-1/01,"Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências"
8610-1/02,Atividades de atendimento em pronto-socorro e unidades hospitalares para atendimento a urgências
86.2,Serviços móveis de atendimento a urgências e de remoção de pacientes
86.21-6,Serviços móveis de atendimento a urgências
8621-6/01,UTI móvel
8621-6/02,"Serviços móveis de atendimento a urgências, exceto por UTI móvel"
86.22-4,"Serviços de remoção de pacientes, exceto os serviços móveis de atendimento a urgências"
8622-4/00,"Serviços de remoção de pacientes, exceto os serviços móveis de atendimento a urgências"
86.3,Atividades de atenção ambulatorial executadas por médicos e odontólogos
86.30-5,Atividades de atenção ambulatorial executadas por médicos e odontólogos
8630-5/01,Atividade médica ambulatorial com recursos para realização de procedimentos cirúrgicos
8630-5/02,Atividade médica ambulatorial com recursos para realização de exames complementares
8630-5/03,Atividade médica ambulatorial restrita a consultas
8630-5/04,Atividade odontológica
8630-5/06,Serviços de vacinação e imunização humana
8630-5/07,Atividades de reprodução humana assistida
8630-5/99,Atividades de atenção ambulatorial não especificadas anteriormente
86.4,Atividades de serviços de complementação diagnóstica e terapêutica
86.40-2,Atividades de serviços de complementação diagnóstica e terapêutica
8640-2/01,Laboratórios de anatomia patológica e citológica
8640-2/02,Laboratórios clínicos
8640-2/03,Serviços de diálise e nefrologia
8640-2/04,Serviços de tomografia
8640-2/05,"Serviços de diagnóstico por imagem com uso de radiação ionizante, exceto tomografia"
8640-2/06,Serviços de ressonância magnética
8640-2/07,"Serviços de diagnóstico por imagem sem uso de radiação ionizante, exceto ressonância magnética"
8640-2/08,"Serviços de diagnóstico por registro gráfico - ECG, EEG e outros exames análogos"
8640-2/09,Serviços de diagnóstico por métodos ópticos - endoscopia e outros exames análogos
8640-2/10,Serviços de quimioterapia
8640-2/11,Serviços de radioterapia
8640-2/12,Serviços de hemoterapia
8640-2/13,Serviços de litotripsia
8640-2/14,Serviços de bancos de células e tecidos humanos
8640-2/99,Atividades de serviços de complementação diagnóstica e terapêutica não especificadas anteriormente
86.5,"Atividades de profissionais da área de saúde, exceto médicos e odontólogos"
86.50-0,"Atividades de profissionais da área de saúde, exceto médicos e odontólogos"
8650-0/01,Atividades de enfermagem
8650-0/02,Atividades de profissionais da nutrição
8650-0/03,Atividades de psicologia e psicanálise
8650-0/04,Atividades de fisioterapia
8650-0/05,Atividades de terapia ocupacional
8650-0/06,Atividades de fonoaudiologia
8650-0/07,Atividades de terapia de nutrição enteral e parenteral
8650-0/99,Atividades de profissionais da área de saúde não especificadas anteriormente
86.6,Atividades de apoio à gestão de saúde
86.60-7,Atividades de apoio à gestão de saúde
8660-7/00,Atividades de apoio à gestão de saúde
86.9,Atividades de atenção à saúde humana não especificadas anteriormente
86.90-9,Atividades de atenção à saúde humana não especificadas anteriormente
8690-9/01,Atividades de práticas integrativas e complementares em saúde humana
8690-9/02,Atividades de bancos de leite humano
8690-9/03,Atividades de acupuntura
8690-9/04,Atividades de podologia
8690-9/99,Outras atividades de atenção à saúde humana não especificadas anteriormente
87.1,"Atividades de assistência a idosos, deficientes físicos, imunodeprimidos e convalescentes, e de infra-estrutura e apoio a pacientes prestadas em residências coletivas e particulares"
87.11-5,"Atividades de assistência a idosos, deficientes físicos, imunodeprimidos e convalescentes prestadas em residências coletivas e particulares"
8711-5/01,Clínicas e residências geriátricas
8711-5/02,Instituições de longa permanência para idosos
8711-5/03,"Atividades de assistência a deficientes físicos, imunodeprimidos e convalescentes"
8711-5/04,Centros de apoio a pacientes com câncer e com AIDS
8711-5/05,Condomínios residenciais para idosos
87.12-3,Atividades de fornecimento de infra-estrutura de apoio e assistência a paciente no domicílio
8712-3/00,Atividades de fornecimento de infra-estrutura de apoio e assistência a paciente no domicílio
87.2,"Atividades de assistência psicossocial e à saúde a portadores de distúrbios psíquicos, deficiência mental e dependência química"
87.20-4,"Atividades de assistência psicossocial e à saúde a portadores de distúrbios psíquicos, deficiência mental e dependência química"
8720-4/01,Atividades de centros de assistência psicossocial
8720-4/99,"Atividades de assistência psicossocial e à saúde a portadores de distúrbios psíquicos, deficiência mental e dependência química não especificadas anteriormente"
87.3,Atividades de assistência social prestadas em residências coletivas e particulares
87.30-1,Atividades de assistência social prestadas em residências coletivas e particulares
8730-1/01,Orfanatos
8730-1/02,Albergues assistenciais
8730-1/99,Atividades de assistência social prestadas em residências coletivas e particulares não especificadas anteriormente
88.0,Serviços de assistência social sem alojamento
88.00-6,Serviços de assistência social sem alojamento
8800-6/00,Serviços de assistência social sem alojamento
90.0,"Atividades artísticas, criativas e de espetáculos"
90.01-9,"Artes cênicas, espetáculos e atividades complementares"
9001-9/01,Produção teatral
9001-9/02,Produção musical
9001-9/03,Produção de espetáculos de dança
9001-9/04,"Produção de espetáculos circenses, de marionetes e similares"
9001-9/05,"Produção de espetáculos de rodeios, vaquejadas e similares"
9001-9/06,Atividades de sonorização e de iluminação
9001-9/99,"Artes cênicas, espetáculos e atividades complementares não especificados anteriormente"
90.02-7,Criação artística
9002-7/01,"Atividades de artistas plásticos, jornalistas independentes e escritores"
9002-7/02,Restauração de obras de arte
90.03-5,"Gestão de espaços para artes cênicas, espetáculos e outras atividades artísticas"
9003-5/00,"Gestão de espaços para artes cênicas, espetáculos e outras atividades artísticas"
91.0,Atividades ligadas ao patrimônio cultural e ambiental
91.01-5,Atividades de bibliotecas e arquivos
9101-5/00,Atividades de bibliotecas e arquivos
91.02-3,"Atividades de museus e de exploração, restauração artística e conservação de lugares e prédios históricos e atrações similares"
9102-3/01,Atividades de museus e de exploração de lugares e prédios históricos e atrações similares
9102-3/02,Restauração e conservação de lugares e prédios históricos
91.03-1,"Atividades de jardins botânicos, zoológicos, parques nacionais, reservas ecológicas e áreas de proteção ambiental"
9103-1/00,"Atividades de jardins botânicos, zoológicos, parques nacionais, reservas ecológicas e áreas de proteção ambiental"
92.0,Atividades de exploração de jogos de azar e apostas
92.00-3,Atividades de exploração de jogos de azar e apostas
9200-3/01,Casas de bingo
9200-3/02,Exploração de apostas em corridas de cavalos
9200-3/99,Exploração de jogos de azar e apostas não especificados anteriormente
93.1,Atividades esportivas
93.11-5,Gestão de instalações de esportes
9311-5/00,Gestão de instalações de esportes
93.12-3,"Clubes sociais, esportivos e similares"
9312-3/00,"Clubes sociais, esportivos e similares"
93.13-1,Atividades de condicionamento físico
9313-1/00,Atividades de condicionamento físico
93.19-1,Atividades esportivas não especificadas anteriormente
9319-1/01,Produção e promoção de eventos esportivos
9319-1/99,Outras atividades esportivas não especificadas anteriormente
93.2,Atividades de recreação e lazer
93.21-2,Parques de diversão e parques temáticos
9321-2/00,Parques de diversão e parques temáticos
93.29-8,Atividades de recreação e lazer não especificadas anteriormente
9329-8/01,"Discotecas, danceterias, salões de dança e similares"
9329-8/02,Exploração de boliches
9329-8/03,"Exploração de jogos de sinuca, bilhar e similares"
9329-8/04,Exploração de jogos eletrônicos recreativos
9329-8/99,Outras atividades de recreação e lazer não especificadas anteriormente
94.0,ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS
94.1,"Atividades de organizações associativas patronais, empresariais e profissionais"
94.11-1,Atividades de organizações associativas patronais e empresariais
9411-1/00,Atividades de organizações associativas patronais e empresariais
94.12-0,Atividades de organizações associativas profissionais
9412-0/01,Atividades de fiscalização profissional
9412-0/99,Outras atividades associativas profissionais
94.2,Atividades de organizações sindicais
94.20-1,Atividades de organizações sindicais
9420-1/00,Atividades de organizações sindicais
94.3,Atividades de associações de defesa de direitos sociais
94.30-8,Atividades de associações de defesa de direitos sociais
9430-8/00,Atividades de associações de defesa de direitos sociais
94.9,Atividades de organizações associativas não especificadas anteriormente
94.91-0,Atividades de organizações religiosas
9491-0/00,Atividades de organizações religiosas ou filosóficas
94.92-8,Atividades de organizações políticas
9492-8/00,Atividades de organizações políticas
94.93-6,Atividades de organizações associativas ligadas à cultura e à arte
9493-6/00,Atividades de organizações associativas ligadas à cultura e à arte
94.99-5,Atividades associativas não especificadas anteriormente
9499-5/00,Atividades associativas não especificadas anteriormente
95.0,REPARAÇÃO E MANUTENÇÃO DE EQUIPAMENTOS DE INFORMÁTICA E COMUNICAÇÃO E DE OBJETOS PESSOAIS E DOMÉSTICOS
95.1,Reparação e manutenção de equipamentos de informática e comunicação
95.11-8,Reparação e manutenção de computadores e de equipamentos periféricos
9511-8/00,Reparação e manutenção de computadores e de equipamentos periféricos
95.12-6,Reparação e manutenção de equipamentos de comunicação
9512-6/00,Reparação e manutenção de equipamentos de comunicação
95.2,Reparação e manutenção de objetos e equipamentos pessoais e domésticos
95.21-5,Reparação e manutenção de equipamentos eletroeletrônicos de uso pessoal e doméstico
9521-5/00,Reparação e manutenção de equipamentos eletroeletrônicos de uso pessoal e doméstico
95.29-1,Reparação e manutenção de objetos e equipamentos pessoais e domésticos não especificados anteriormente
9529-1/01,"Reparação de calçados, bolsas e artigos de viagem"
9529-1/02,Chaveiros
9529-1/03,Reparação de relógios
9529-1/04,"Reparação de bicicletas, triciclos e outros veículos não-motorizados"
9529-1/05,Reparação de artigos do mobiliário
9529-1/06,Reparação de jóias
9529-1/99,Reparação e manutenção de outros objetos e equipamentos pessoais e domésticos não especificados anteriormente
96.0,Outras atividades de serviços pessoais
96.01-7,"Lavanderias, tinturarias e toalheiros"
9601-7/01,Lavanderias
9601-7/02,Tinturarias
9601-7/03,Toalheiros
96.02-5,Cabeleireiros e outras atividades de tratamento de beleza
9602-5/01,"Cabeleireiros, manicure e pedicure"
9602-5/02,Atividades de Estética e outros serviços de cuidados com a beleza
96.03-3,Atividades funerárias e serviços relacionados
9603-3/01,Gestão e manutenção de cemitérios
9603-3/02,Serviços de cremação
9603-3/03,Serviços de sepultamento
9603-3/04,Serviços de funerárias
9603-3/05,Serviços de somatoconservação
9603-3/99,Atividades funerárias e serviços relacionados não especificados anteriormente
96.09-2,Atividades de serviços pessoais não especificadas anteriormente
9609-2/02,Agências matrimoniais
9609-2/04,Exploração de máquinas de serviços pessoais acionadas por moeda
9609-2/05,Atividades de sauna e banhos
9609-2/06,Serviços de tatuagem e colocação de piercing
9609-2/07,Alojamento de animais domésticos
9609-2/08,Higiene e embelezamento de animais domésticos
9609-2/99,Outras atividades de serviços pessoais não especificadas anteriormente
97.0,Serviços domésticos
97.00-5,Serviços domésticos
9700-5/00,Serviços domésticos
99.0,Organismos internacionais e outras instituições extraterritoriais
99.00-8,Organismos internacionais e outras instituições extraterritoriais
9900-8/00,Organismos internacionais e outras instituições extraterritoriais
